message,severity,attributes,tags,timestamp
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301432330Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301436358Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301440404Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301445186Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301448458Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.301451633Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302656022Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302661389Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302665551Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302669086Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302672616Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302675690Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302678871Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302682246Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302685582Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302688697Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302691947Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302695605Z
2026-03-24 23:33:52.276 Thread 'MainThread': missing ScriptRunContext! This warning can be ignored when running in bare mode.,error,"{""level"":""error""}","{""project"":""e9ce359f-c264-471d-bba2-a54ecd5befd3"",""environment"":""910ab2b9-6811-4a4a-a088-7e59fce4c26f"",""service"":""651ca41f-8952-47d4-908d-b0017ba97b84"",""deployment"":""694902f0-2681-4608-acfb-ab24726dd77a"",""replica"":""4b993037-bcd8-4361-857a-f1437f884704""}",2026-03-24T23:33:52.302699021Z
